"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value","T"
"1","1","15","GIBBS","ECR","standard","simple","upper","2.19345061085824","2e+05"
"2","1","15","GIBBS","ECR","standard","bridge","upper","-27.9592258195535","2e+05"
"3","1","15","GIBBS","ECR","standard","simple","estim","-0.0292563952343698","2e+05"
"4","1","15","GIBBS","ECR","standard","bridge","estim","-27.9452874804897","2e+05"
"5","1","15","GIBBS","ECR","standard","simple","lower","-0.865609750642307","2e+05"
"6","1","15","GIBBS","ECR","standard","bridge","lower","-27.9315407510612","2e+05"
"7","1","15","GIBBS","ECR","standard","simple","logcor","-3.16084279361759","2e+05"
"8","1","15","GIBBS","ECR","standard","bridge","logcor","-27.9592258195535","2e+05"
"9","1","15","GIBBS","ECR","standard","simple","permlen","1","2e+05"
"10","1","15","GIBBS","ECR","standard","bridge","permlen","-27.9452874804897","2e+05"
"11","1","15","GIBBS","ECR","standard","simple","alpha","0.5","2e+05"
"12","1","15","GIBBS","ECR","standard","bridge","alpha","-27.9315407510612","2e+05"
