"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"1","1","2","JAGS","ECR","standard","simple","upper","-198.694195599047"
"2","2","2","JAGS","ECR","standard","simple","upper","-197.687994315154"
"3","3","2","JAGS","ECR","standard","simple","upper","-198.936541069321"
"4","4","2","JAGS","ECR","standard","simple","upper","-197.1175745234"
"5","5","2","JAGS","ECR","standard","simple","upper","-197.069459596423"
"6","6","2","JAGS","ECR","standard","simple","upper","-198.199610605771"
"7","7","2","JAGS","ECR","standard","simple","upper","-198.229596957274"
"8","8","2","JAGS","ECR","standard","simple","upper","-198.683115581189"
"9","9","2","JAGS","ECR","standard","simple","upper","-199.115489150034"
"10","10","2","JAGS","ECR","standard","simple","upper","-197.428809097527"
"11","11","2","JAGS","ECR","standard","simple","upper","-197.682085000213"
"12","12","2","JAGS","ECR","standard","simple","upper","-197.02889594587"
"13","13","2","JAGS","ECR","standard","simple","upper","-198.759764564004"
"14","14","2","JAGS","ECR","standard","simple","upper","-197.491592540069"
"15","15","2","JAGS","ECR","standard","simple","upper","-199.102975108018"
"16","16","2","JAGS","ECR","standard","simple","upper","-198.839121661962"
"17","17","2","JAGS","ECR","standard","simple","upper","-198.418842269678"
"18","18","2","JAGS","ECR","standard","simple","upper","-199.041274802486"
"19","19","2","JAGS","ECR","standard","simple","upper","-196.901850975856"
"20","20","2","JAGS","ECR","standard","simple","upper","-196.996500967532"
"21","1","3","JAGS","ECR","standard","simple","upper","-197.360621779119"
"22","2","3","JAGS","ECR","standard","simple","upper","-197.440423486262"
"23","3","3","JAGS","ECR","standard","simple","upper","-197.444411687375"
"24","4","3","JAGS","ECR","standard","simple","upper","-195.595755354584"
"25","5","3","JAGS","ECR","standard","simple","upper","-195.687642364944"
"26","6","3","JAGS","ECR","standard","simple","upper","-197.20802677915"
"27","7","3","JAGS","ECR","standard","simple","upper","-195.712812990822"
"28","8","3","JAGS","ECR","standard","simple","upper","-195.661691370724"
"29","9","3","JAGS","ECR","standard","simple","upper","-196.379478195601"
"30","10","3","JAGS","ECR","standard","simple","upper","-196.15454942161"
"31","11","3","JAGS","ECR","standard","simple","upper","-195.557262927804"
"32","12","3","JAGS","ECR","standard","simple","upper","-197.041782600096"
"33","13","3","JAGS","ECR","standard","simple","upper","-196.585884650816"
"34","14","3","JAGS","ECR","standard","simple","upper","-196.446287809697"
"35","15","3","JAGS","ECR","standard","simple","upper","-196.749614756851"
"36","16","3","JAGS","ECR","standard","simple","upper","-197.066463660361"
"37","17","3","JAGS","ECR","standard","simple","upper","-197.681974692316"
"38","18","3","JAGS","ECR","standard","simple","upper","-196.88208203717"
"39","19","3","JAGS","ECR","standard","simple","upper","-197.073812033349"
"40","20","3","JAGS","ECR","standard","simple","upper","-195.668336588481"
"41","1","4","JAGS","ECR","standard","simple","upper","-197.539735886651"
"42","2","4","JAGS","ECR","standard","simple","upper","-196.440001692609"
"43","3","4","JAGS","ECR","standard","simple","upper","-197.041659136381"
"44","4","4","JAGS","ECR","standard","simple","upper","-196.761250731406"
"45","5","4","JAGS","ECR","standard","simple","upper","-196.247380674827"
"46","6","4","JAGS","ECR","standard","simple","upper","-197.72672087399"
"47","7","4","JAGS","ECR","standard","simple","upper","-196.734266453235"
"48","8","4","JAGS","ECR","standard","simple","upper","-196.58653530356"
"49","9","4","JAGS","ECR","standard","simple","upper","-197.910588792939"
