"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"1","1","2","JAGS","ECR","standard","simple","upper","-74.5354304621025"
"2","2","2","JAGS","ECR","standard","simple","upper","-75.5115263890444"
"3","3","2","JAGS","ECR","standard","simple","upper","-75.876421942995"
"4","4","2","JAGS","ECR","standard","simple","upper","-76.2808756901385"
"5","5","2","JAGS","ECR","standard","simple","upper","-74.8456006292013"
"6","6","2","JAGS","ECR","standard","simple","upper","-76.2415625192922"
"7","7","2","JAGS","ECR","standard","simple","upper","-74.518455111517"
"8","8","2","JAGS","ECR","standard","simple","upper","-75.8763478916381"
"9","9","2","JAGS","ECR","standard","simple","upper","-76.1318145696719"
"10","10","2","JAGS","ECR","standard","simple","upper","-74.1660562173863"
"11","11","2","JAGS","ECR","standard","simple","upper","-76.0197864333156"
"12","12","2","JAGS","ECR","standard","simple","upper","-76.0500619740331"
"13","13","2","JAGS","ECR","standard","simple","upper","-76.2223012257543"
"14","14","2","JAGS","ECR","standard","simple","upper","-74.3572480385506"
"15","15","2","JAGS","ECR","standard","simple","upper","-76.0569073873417"
"16","16","2","JAGS","ECR","standard","simple","upper","-74.2593834245925"
"17","17","2","JAGS","ECR","standard","simple","upper","-74.3891138473868"
"18","18","2","JAGS","ECR","standard","simple","upper","-74.102678452619"
"19","19","2","JAGS","ECR","standard","simple","upper","-74.4699709041262"
"20","20","2","JAGS","ECR","standard","simple","upper","-75.2699453440583"
"21","1","3","JAGS","ECR","standard","simple","upper","-72.8364609006014"
"22","2","3","JAGS","ECR","standard","simple","upper","-72.0951415226419"
"23","3","3","JAGS","ECR","standard","simple","upper","-72.1455306136317"
"24","4","3","JAGS","ECR","standard","simple","upper","-73.5767026916368"
"25","5","3","JAGS","ECR","standard","simple","upper","-72.8904259017734"
"26","6","3","JAGS","ECR","standard","simple","upper","-72.9181328787082"
"27","7","3","JAGS","ECR","standard","simple","upper","-72.6504938753111"
"28","8","3","JAGS","ECR","standard","simple","upper","-72.4607049344968"
"29","9","3","JAGS","ECR","standard","simple","upper","-72.835647362685"
"30","10","3","JAGS","ECR","standard","simple","upper","-71.7899051223924"
"31","11","3","JAGS","ECR","standard","simple","upper","-72.48218749491"
"32","12","3","JAGS","ECR","standard","simple","upper","-71.5566730995546"
"33","13","3","JAGS","ECR","standard","simple","upper","-73.2082460565045"
"34","14","3","JAGS","ECR","standard","simple","upper","-73.7065395738165"
"35","15","3","JAGS","ECR","standard","simple","upper","-73.4815264989057"
"36","16","3","JAGS","ECR","standard","simple","upper","-71.5573343714841"
"37","17","3","JAGS","ECR","standard","simple","upper","-73.6965094260197"
"38","18","3","JAGS","ECR","standard","simple","upper","-73.3673922882749"
"39","19","3","JAGS","ECR","standard","simple","upper","-72.8803107664912"
"40","20","3","JAGS","ECR","standard","simple","upper","-73.3054244351361"
"41","1","4","JAGS","ECR","standard","simple","upper","-73.3860861690988"
"42","2","4","JAGS","ECR","standard","simple","upper","-73.0727175042559"
"43","3","4","JAGS","ECR","standard","simple","upper","-72.9217358779793"
"44","4","4","JAGS","ECR","standard","simple","upper","-72.0810981875474"
"45","5","4","JAGS","ECR","standard","simple","upper","-73.303031031693"
"46","6","4","JAGS","ECR","standard","simple","upper","-72.7426410772909"
"47","7","4","JAGS","ECR","standard","simple","upper","-71.6891097415501"
"48","8","4","JAGS","ECR","standard","simple","upper","-73.0065242164702"
"49","9","4","JAGS","ECR","standard","simple","upper","-71.7899906124547"
"50","10","4","JAGS","ECR","standard","simple","upper","-72.2867687715228"
"51","11","4","JAGS","ECR","standard","simple","upper","-72.5518583203825"
"52","12","4","JAGS","ECR","standard","simple","upper","-72.72049039679"
"53","13","4","JAGS","ECR","standard","simple","upper","-71.6649483257211"
"54","14","4","JAGS","ECR","standard","simple","upper","-72.6508593888339"
"55","15","4","JAGS","ECR","standard","simple","upper","-73.0701282799447"
"56","16","4","JAGS","ECR","standard","simple","upper","-71.6669917160894"
"57","17","4","JAGS","ECR","standard","simple","upper","-74.3050035093021"
"58","18","4","JAGS","ECR","standard","simple","upper","-72.2304260538577"
"59","19","4","JAGS","ECR","standard","simple","upper","-72.3523330192588"
"60","20","4","JAGS","ECR","standard","simple","upper","-71.5037713396404"
"61","1","5","JAGS","ECR","standard","simple","upper","-72.2670081076608"
"62","2","5","JAGS","ECR","standard","simple","upper","-71.6589267294289"
"63","3","5","JAGS","ECR","standard","simple","upper","-71.9285444648662"
"64","4","5","JAGS","ECR","standard","simple","upper","-73.4266145257553"
"65","5","5","JAGS","ECR","standard","simple","upper","-73.5031113800342"
"66","6","5","JAGS","ECR","standard","simple","upper","-72.3785151196061"
"67","7","5","JAGS","ECR","standard","simple","upper","-73.5653173564214"
"68","8","5","JAGS","ECR","standard","simple","upper","-71.2822004124912"
"69","9","5","JAGS","ECR","standard","simple","upper","-71.847936211324"
"70","10","5","JAGS","ECR","standard","simple","upper","-72.5095383926669"
"71","11","5","JAGS","ECR","standard","simple","upper","-72.1970518883188"
"72","12","5","JAGS","ECR","standard","simple","upper","-72.9545087784051"
"73","13","5","JAGS","ECR","standard","simple","upper","-72.0415363839994"
"74","14","5","JAGS","ECR","standard","simple","upper","-73.2281488480466"
"75","15","5","JAGS","ECR","standard","simple","upper","-73.3487737739483"
"76","16","5","JAGS","ECR","standard","simple","upper","-72.2288160888559"
"77","17","5","JAGS","ECR","standard","simple","upper","-73.2276237296622"
"78","18","5","JAGS","ECR","standard","simple","upper","-72.1446887741788"
"79","19","5","JAGS","ECR","standard","simple","upper","-72.3854914377792"
"80","20","5","JAGS","ECR","standard","simple","upper","-71.7414794396965"
"81","1","6","JAGS","ECR","standard","simple","upper","-72.7860013953859"
"82","2","6","JAGS","ECR","standard","simple","upper","-72.1933565401908"
"83","3","6","JAGS","ECR","standard","simple","upper","-72.7278183772758"
"84","4","6","JAGS","ECR","standard","simple","upper","-71.5553225827404"
"85","5","6","JAGS","ECR","standard","simple","upper","-71.0712867664457"
"86","6","6","JAGS","ECR","standard","simple","upper","-73.7228658101571"
"87","7","6","JAGS","ECR","standard","simple","upper","-72.7362201765431"
"88","8","6","JAGS","ECR","standard","simple","upper","-74.4943451899958"
"89","9","6","JAGS","ECR","standard","simple","upper","-72.9259752292804"
"90","10","6","JAGS","ECR","standard","simple","upper","-73.2483256324987"
"91","11","6","JAGS","ECR","standard","simple","upper","-72.6022740736474"
"92","12","6","JAGS","ECR","standard","simple","upper","-73.4365782209167"
"93","13","6","JAGS","ECR","standard","simple","upper","-73.6495446790346"
"94","14","6","JAGS","ECR","standard","simple","upper","-74.5736964813161"
"95","15","6","JAGS","ECR","standard","simple","upper","-71.2241033474217"
"96","16","6","JAGS","ECR","standard","simple","upper","-73.0968369629605"
"97","17","6","JAGS","ECR","standard","simple","upper","-72.7598656541845"
"98","18","6","JAGS","ECR","standard","simple","upper","-70.8082904086317"
"99","19","6","JAGS","ECR","standard","simple","upper","-71.1030758202749"
"100","20","6","JAGS","ECR","standard","simple","upper","-73.4623739751063"
"101","1","2","STAN","ECR","standard","simple","upper",NA
"102","2","2","STAN","ECR","standard","simple","upper",NA
"103","3","2","STAN","ECR","standard","simple","upper",NA
"104","4","2","STAN","ECR","standard","simple","upper",NA
"105","5","2","STAN","ECR","standard","simple","upper",NA
"106","6","2","STAN","ECR","standard","simple","upper",NA
"107","7","2","STAN","ECR","standard","simple","upper",NA
"108","8","2","STAN","ECR","standard","simple","upper",NA
"109","9","2","STAN","ECR","standard","simple","upper",NA
"110","10","2","STAN","ECR","standard","simple","upper",NA
"111","11","2","STAN","ECR","standard","simple","upper",NA
"112","12","2","STAN","ECR","standard","simple","upper",NA
"113","13","2","STAN","ECR","standard","simple","upper",NA
"114","14","2","STAN","ECR","standard","simple","upper",NA
"115","15","2","STAN","ECR","standard","simple","upper",NA
"116","16","2","STAN","ECR","standard","simple","upper",NA
"117","17","2","STAN","ECR","standard","simple","upper",NA
"118","18","2","STAN","ECR","standard","simple","upper",NA
"119","19","2","STAN","ECR","standard","simple","upper",NA
"120","20","2","STAN","ECR","standard","simple","upper",NA
"121","1","3","STAN","ECR","standard","simple","upper",NA
"122","2","3","STAN","ECR","standard","simple","upper",NA
"123","3","3","STAN","ECR","standard","simple","upper",NA
"124","4","3","STAN","ECR","standard","simple","upper",NA
"125","5","3","STAN","ECR","standard","simple","upper",NA
"126","6","3","STAN","ECR","standard","simple","upper",NA
"127","7","3","STAN","ECR","standard","simple","upper",NA
"128","8","3","STAN","ECR","standard","simple","upper",NA
"129","9","3","STAN","ECR","standard","simple","upper",NA
"130","10","3","STAN","ECR","standard","simple","upper",NA
"131","11","3","STAN","ECR","standard","simple","upper",NA
"132","12","3","STAN","ECR","standard","simple","upper",NA
"133","13","3","STAN","ECR","standard","simple","upper",NA
"134","14","3","STAN","ECR","standard","simple","upper",NA
"135","15","3","STAN","ECR","standard","simple","upper",NA
"136","16","3","STAN","ECR","standard","simple","upper",NA
"137","17","3","STAN","ECR","standard","simple","upper",NA
"138","18","3","STAN","ECR","standard","simple","upper",NA
"139","19","3","STAN","ECR","standard","simple","upper",NA
"140","20","3","STAN","ECR","standard","simple","upper",NA
"141","1","4","STAN","ECR","standard","simple","upper",NA
"142","2","4","STAN","ECR","standard","simple","upper",NA
"143","3","4","STAN","ECR","standard","simple","upper",NA
"144","4","4","STAN","ECR","standard","simple","upper",NA
"145","5","4","STAN","ECR","standard","simple","upper",NA
"146","6","4","STAN","ECR","standard","simple","upper",NA
"147","7","4","STAN","ECR","standard","simple","upper",NA
"148","8","4","STAN","ECR","standard","simple","upper",NA
"149","9","4","STAN","ECR","standard","simple","upper",NA
"150","10","4","STAN","ECR","standard","simple","upper",NA
"151","11","4","STAN","ECR","standard","simple","upper",NA
"152","12","4","STAN","ECR","standard","simple","upper",NA
"153","13","4","STAN","ECR","standard","simple","upper",NA
"154","14","4","STAN","ECR","standard","simple","upper",NA
"155","15","4","STAN","ECR","standard","simple","upper",NA
"156","16","4","STAN","ECR","standard","simple","upper",NA
"157","17","4","STAN","ECR","standard","simple","upper",NA
"158","18","4","STAN","ECR","standard","simple","upper",NA
"159","19","4","STAN","ECR","standard","simple","upper",NA
"160","20","4","STAN","ECR","standard","simple","upper",NA
"161","1","5","STAN","ECR","standard","simple","upper",NA
"162","2","5","STAN","ECR","standard","simple","upper",NA
"163","3","5","STAN","ECR","standard","simple","upper",NA
"164","4","5","STAN","ECR","standard","simple","upper",NA
"165","5","5","STAN","ECR","standard","simple","upper",NA
"166","6","5","STAN","ECR","standard","simple","upper",NA
"167","7","5","STAN","ECR","standard","simple","upper",NA
"168","8","5","STAN","ECR","standard","simple","upper",NA
"169","9","5","STAN","ECR","standard","simple","upper",NA
"170","10","5","STAN","ECR","standard","simple","upper",NA
"171","11","5","STAN","ECR","standard","simple","upper",NA
"172","12","5","STAN","ECR","standard","simple","upper",NA
"173","13","5","STAN","ECR","standard","simple","upper",NA
"174","14","5","STAN","ECR","standard","simple","upper",NA
"175","15","5","STAN","ECR","standard","simple","upper",NA
"176","16","5","STAN","ECR","standard","simple","upper",NA
"177","17","5","STAN","ECR","standard","simple","upper",NA
"178","18","5","STAN","ECR","standard","simple","upper",NA
"179","19","5","STAN","ECR","standard","simple","upper",NA
"180","20","5","STAN","ECR","standard","simple","upper",NA
"181","1","6","STAN","ECR","standard","simple","upper",NA
"182","2","6","STAN","ECR","standard","simple","upper",NA
"183","3","6","STAN","ECR","standard","simple","upper",NA
"184","4","6","STAN","ECR","standard","simple","upper",NA
"185","5","6","STAN","ECR","standard","simple","upper",NA
"186","6","6","STAN","ECR","standard","simple","upper",NA
"187","7","6","STAN","ECR","standard","simple","upper",NA
"188","8","6","STAN","ECR","standard","simple","upper",NA
"189","9","6","STAN","ECR","standard","simple","upper",NA
