"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"1","1","2","JAGS","ECR","standard","permutations","upper","-234.739279496773"
"2","2","2","JAGS","ECR","standard","permutations","upper","-234.911922475177"
"3","3","2","JAGS","ECR","standard","permutations","upper","-232.891713510158"
"4","4","2","JAGS","ECR","standard","permutations","upper","-234.925093235958"
"5","5","2","JAGS","ECR","standard","permutations","upper","-234.381993328102"
"6","6","2","JAGS","ECR","standard","permutations","upper","-234.830752794201"
"7","7","2","JAGS","ECR","standard","permutations","upper","-234.020465436387"
"8","8","2","JAGS","ECR","standard","permutations","upper","-234.645789427084"
"9","9","2","JAGS","ECR","standard","permutations","upper","-233.554901073399"
"10","10","2","JAGS","ECR","standard","permutations","upper","-233.688367359891"
"11","11","2","JAGS","ECR","standard","permutations","upper","-233.843573353447"
"12","12","2","JAGS","ECR","standard","permutations","upper","-234.65548371726"
"13","13","2","JAGS","ECR","standard","permutations","upper","-234.082840720807"
"14","14","2","JAGS","ECR","standard","permutations","upper","-234.481758794493"
"15","15","2","JAGS","ECR","standard","permutations","upper","-234.738506144358"
"16","16","2","JAGS","ECR","standard","permutations","upper","-232.81829032068"
"17","17","2","JAGS","ECR","standard","permutations","upper","-233.00428965441"
"18","18","2","JAGS","ECR","standard","permutations","upper","-233.498549809246"
"19","19","2","JAGS","ECR","standard","permutations","upper","-233.646493331074"
"20","20","2","JAGS","ECR","standard","permutations","upper","-233.673211214542"
"21","1","3","JAGS","ECR","standard","permutations","upper","-224.189525999002"
"22","2","3","JAGS","ECR","standard","permutations","upper","-225.150755991596"
"23","3","3","JAGS","ECR","standard","permutations","upper","-224.721426396898"
"24","4","3","JAGS","ECR","standard","permutations","upper","-225.642149846426"
"25","5","3","JAGS","ECR","standard","permutations","upper","-224.24288712992"
"26","6","3","JAGS","ECR","standard","permutations","upper","-225.612503684226"
"27","7","3","JAGS","ECR","standard","permutations","upper","-224.732167384891"
"28","8","3","JAGS","ECR","standard","permutations","upper","-224.258383714045"
"29","9","3","JAGS","ECR","standard","permutations","upper","-225.528975576194"
"30","10","3","JAGS","ECR","standard","permutations","upper","-225.207337487645"
"31","11","3","JAGS","ECR","standard","permutations","upper","-225.79789377224"
"32","12","3","JAGS","ECR","standard","permutations","upper","-225.073075427834"
"33","13","3","JAGS","ECR","standard","permutations","upper","-224.241181607149"
"34","14","3","JAGS","ECR","standard","permutations","upper","-224.144845688176"
"35","15","3","JAGS","ECR","standard","permutations","upper","-225.79450148307"
"36","16","3","JAGS","ECR","standard","permutations","upper","-225.011814427603"
"37","17","3","JAGS","ECR","standard","permutations","upper","-225.478296254285"
"38","18","3","JAGS","ECR","standard","permutations","upper","-225.817172718545"
"39","19","3","JAGS","ECR","standard","permutations","upper","-224.086937153032"
"40","20","3","JAGS","ECR","standard","permutations","upper","-224.452273036455"
"41","1","4","JAGS","ECR","standard","permutations","upper","-223.783936348609"
"42","2","4","JAGS","ECR","standard","permutations","upper","-224.334888143655"
"43","3","4","JAGS","ECR","standard","permutations","upper","-224.170832309232"
"44","4","4","JAGS","ECR","standard","permutations","upper","-224.223713458056"
"45","5","4","JAGS","ECR","standard","permutations","upper","-223.388666406521"
"46","6","4","JAGS","ECR","standard","permutations","upper","-224.314440522534"
"47","7","4","JAGS","ECR","standard","permutations","upper","-223.915320020545"
"48","8","4","JAGS","ECR","standard","permutations","upper","-223.128134087709"
"49","9","4","JAGS","ECR","standard","permutations","upper","-223.677749529708"
"50","10","4","JAGS","ECR","standard","permutations","upper","-224.523065136576"
"51","11","4","JAGS","ECR","standard","permutations","upper","-223.814299778178"
"52","12","4","JAGS","ECR","standard","permutations","upper","-225.137925067691"
"53","13","4","JAGS","ECR","standard","permutations","upper","-223.4045718415"
"54","14","4","JAGS","ECR","standard","permutations","upper","-224.234181369757"
"55","15","4","JAGS","ECR","standard","permutations","upper","-223.962264756857"
"56","16","4","JAGS","ECR","standard","permutations","upper","-223.441178262155"
"57","17","4","JAGS","ECR","standard","permutations","upper","-223.879368525972"
"58","18","4","JAGS","ECR","standard","permutations","upper","-224.692516507023"
"59","19","4","JAGS","ECR","standard","permutations","upper","-225.017432656039"
"60","20","4","JAGS","ECR","standard","permutations","upper","-223.556598115712"
"61","1","5","JAGS","ECR","standard","permutations","upper","-223.292925381068"
"62","2","5","JAGS","ECR","standard","permutations","upper","-224.721832685572"
"63","3","5","JAGS","ECR","standard","permutations","upper","-224.827212363041"
"64","4","5","JAGS","ECR","standard","permutations","upper","-223.707084033354"
"65","5","5","JAGS","ECR","standard","permutations","upper","-224.707212840769"
"66","6","5","JAGS","ECR","standard","permutations","upper","-223.042536733613"
"67","7","5","JAGS","ECR","standard","permutations","upper","-223.494605523396"
"68","8","5","JAGS","ECR","standard","permutations","upper","-224.360309614749"
"69","9","5","JAGS","ECR","standard","permutations","upper","-225.580144888376"
"70","10","5","JAGS","ECR","standard","permutations","upper","-224.918629113485"
"71","11","5","JAGS","ECR","standard","permutations","upper","-223.50271855242"
"72","12","5","JAGS","ECR","standard","permutations","upper","-222.646362882729"
"73","13","5","JAGS","ECR","standard","permutations","upper","-224.123153032565"
"74","14","5","JAGS","ECR","standard","permutations","upper","-223.558958287249"
"75","15","5","JAGS","ECR","standard","permutations","upper","-223.470746702004"
"76","16","5","JAGS","ECR","standard","permutations","upper","-223.111407657221"
"77","17","5","JAGS","ECR","standard","permutations","upper","-222.779260729169"
"78","18","5","JAGS","ECR","standard","permutations","upper","-224.584462439173"
"79","19","5","JAGS","ECR","standard","permutations","upper","-223.115519980114"
"80","20","5","JAGS","ECR","standard","permutations","upper","-222.359515492969"
"81","1","6","JAGS","ECR","standard","permutations","upper","-222.911692508615"
"82","2","6","JAGS","ECR","standard","permutations","upper","-224.451972349308"
"83","3","6","JAGS","ECR","standard","permutations","upper","-224.314732862826"
"84","4","6","JAGS","ECR","standard","permutations","upper","-223.699199953467"
"85","5","6","JAGS","ECR","standard","permutations","upper","-223.754134789188"
"86","6","6","JAGS","ECR","standard","permutations","upper","-223.484607409076"
"87","7","6","JAGS","ECR","standard","permutations","upper","-224.143773297566"
"88","8","6","JAGS","ECR","standard","permutations","upper","-223.456280008782"
"89","9","6","JAGS","ECR","standard","permutations","upper","-223.37595980416"
"90","10","6","JAGS","ECR","standard","permutations","upper","-222.435250394913"
"91","11","6","JAGS","ECR","standard","permutations","upper","-222.736394265363"
"92","12","6","JAGS","ECR","standard","permutations","upper","-223.628315488387"
"93","13","6","JAGS","ECR","standard","permutations","upper","-222.744855307067"
"94","14","6","JAGS","ECR","standard","permutations","upper","-222.761637855276"
"95","15","6","JAGS","ECR","standard","permutations","upper","-223.191498881695"
"96","16","6","JAGS","ECR","standard","permutations","upper","-222.769134994957"
"97","17","6","JAGS","ECR","standard","permutations","upper","-223.272951498093"
"98","18","6","JAGS","ECR","standard","permutations","upper","-223.508843369402"
"99","19","6","JAGS","ECR","standard","permutations","upper","-223.638374442389"
"100","20","6","JAGS","ECR","standard","permutations","upper","-222.800036052715"
"101","1","2","STAN","ECR","standard","permutations","upper",NA
"102","2","2","STAN","ECR","standard","permutations","upper",NA
"103","3","2","STAN","ECR","standard","permutations","upper",NA
