"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"1","1","2","JAGS","ECR","standard","simple","upper","-234.22522675387"
"2","1","3","JAGS","ECR","standard","simple","upper","-224.245546224214"
"3","1","4","JAGS","ECR","standard","simple","upper","-223.866097271767"
"4","1","5","JAGS","ECR","standard","simple","upper","-224.012048413261"
"5","1","6","JAGS","ECR","standard","simple","upper","-223.138580838833"
"6","1","7","JAGS","ECR","standard","simple","upper","-226.19257543956"
"7","1","8","JAGS","ECR","standard","simple","upper","-224.086361381842"
"8","1","9","JAGS","ECR","standard","simple","upper","-290.681319039928"
"9","1","10","JAGS","ECR","standard","simple","upper","-285.245033080321"
"10","1","11","JAGS","ECR","standard","simple","upper","-334.807444551715"
"11","1","12","JAGS","ECR","standard","simple","upper","-327.268822381027"
"12","1","13","JAGS","ECR","standard","simple","upper","-387.317429650327"
"13","1","14","JAGS","ECR","standard","simple","upper","-373.623478396394"
"14","1","15","JAGS","ECR","standard","simple","upper","-385.207403125576"
"15","1","2","JAGS","ECR","standard","simple","estim","-235.249582259123"
"16","1","3","JAGS","ECR","standard","simple","estim","-226.653968908392"
"17","1","4","JAGS","ECR","standard","simple","estim","-225.961873903741"
"18","1","5","JAGS","ECR","standard","simple","estim","-225.600696705248"
"19","1","6","JAGS","ECR","standard","simple","estim","-225.387614411671"
"20","1","7","JAGS","ECR","standard","simple","estim","-226.912703167039"
"21","1","8","JAGS","ECR","standard","simple","estim","-226.406907637506"
"22","1","9","JAGS","ECR","standard","simple","estim","-292.992137948548"
"23","1","10","JAGS","ECR","standard","simple","estim","-287.466298424548"
"24","1","11","JAGS","ECR","standard","simple","estim","-336.117095130207"
"25","1","12","JAGS","ECR","standard","simple","estim","-329.740187132426"
"26","1","13","JAGS","ECR","standard","simple","estim","-389.799318486211"
"27","1","14","JAGS","ECR","standard","simple","estim","-375.20764740937"
"28","1","15","JAGS","ECR","standard","simple","estim","-387.592636005898"
"29","1","2","JAGS","ECR","standard","simple","lower","-235.749047038065"
"30","1","3","JAGS","ECR","standard","simple","lower","-227.627890213233"
"31","1","4","JAGS","ECR","standard","simple","lower","-226.74054453877"
"32","1","5","JAGS","ECR","standard","simple","lower","-226.229974633538"
"33","1","6","JAGS","ECR","standard","simple","lower","-226.238266877766"
