"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"1","1","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.352143092597089"
"2","2","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.579972370612332"
"3","3","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.664034299569543"
"4","4","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.45567656093737"
"5","5","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.368406087728282"
"6","6","3","truemodel_G3_rho0","ECR","standard","simple","upper","2.21111528217588"
"7","7","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.661487723465221"
"8","8","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.373460539871033"
"9","9","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.863288265937314"
"10","10","3","truemodel_G3_rho0","ECR","standard","simple","upper","2.32092615991856"
"11","11","3","truemodel_G3_rho0","ECR","standard","simple","upper","1.38491746361351"
"12","12","3","truemodel_G3_rho0","ECR","standard","simple","upper","1.89966486183779"
"13","13","3","truemodel_G3_rho0","ECR","standard","simple","upper","1.69537281501489"
"14","14","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.246898833592148"
"15","15","3","truemodel_G3_rho0","ECR","standard","simple","upper","2.39856382459709"
"16","16","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.695748839175685"
"17","17","3","truemodel_G3_rho0","ECR","standard","simple","upper","1.55923832210873"
"18","18","3","truemodel_G3_rho0","ECR","standard","simple","upper","1.22713809479912"
"19","19","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.738035877132944"
"20","20","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.14505257206153"
"21","21","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.395890962277214"
"22","22","3","truemodel_G3_rho0","ECR","standard","simple","upper","1.93879593070046"
"23","23","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.203623015354154"
"24","24","3","truemodel_G3_rho0","ECR","standard","simple","upper","1.30544422225223"
"25","25","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.398839618625701"
"26","26","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.754487878529694"
"27","27","3","truemodel_G3_rho0","ECR","standard","simple","upper","2.08990035025106"
"28","28","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.402441782649092"
"29","29","3","truemodel_G3_rho0","ECR","standard","simple","upper","0.586229750874033"
