"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"1","1","3","overfitting_rho0","ECR","standard","mc","upper","-26.3037256379027"
"2","2","3","overfitting_rho0","ECR","standard","mc","upper","-23.8374184901011"
"3","3","3","overfitting_rho0","ECR","standard","mc","upper","-30.4852679804204"
"4","4","3","overfitting_rho0","ECR","standard","mc","upper","-24.8814853415321"
"5","5","3","overfitting_rho0","ECR","standard","mc","upper","-12.4341097200675"
"6","6","3","overfitting_rho0","ECR","standard","mc","upper","-16.82734336491"
"7","7","3","overfitting_rho0","ECR","standard","mc","upper","-53.6164956823318"
"8","8","3","overfitting_rho0","ECR","standard","mc","upper","-14.3464570756014"
"9","9","3","overfitting_rho0","ECR","standard","mc","upper","-31.6637426372094"
"10","10","3","overfitting_rho0","ECR","standard","mc","upper","-32.8096215558321"
"11","11","3","overfitting_rho0","ECR","standard","mc","upper","-17.1851137336925"
"12","12","3","overfitting_rho0","ECR","standard","mc","upper","-21.0298522339081"
"13","13","3","overfitting_rho0","ECR","standard","mc","upper","-15.1756388618822"
"14","14","3","overfitting_rho0","ECR","standard","mc","upper","-28.3945210592211"
"15","15","3","overfitting_rho0","ECR","standard","mc","upper","-17.2814172607538"
"16","16","3","overfitting_rho0","ECR","standard","mc","upper","-30.5503479580377"
"17","17","3","overfitting_rho0","ECR","standard","mc","upper","-38.4738254897012"
"18","18","3","overfitting_rho0","ECR","standard","mc","upper","-18.1217313956978"
"19","19","3","overfitting_rho0","ECR","standard","mc","upper","-32.1146602378289"
"20","20","3","overfitting_rho0","ECR","standard","mc","upper","-15.1728805291234"
"21","21","3","overfitting_rho0","ECR","standard","mc","upper","-12.676824252314"
"22","22","3","overfitting_rho0","ECR","standard","mc","upper","-18.2928535258514"
"23","23","3","overfitting_rho0","ECR","standard","mc","upper","-8.1589326861681"
"24","24","3","overfitting_rho0","ECR","standard","mc","upper","-15.7421935433945"
"25","25","3","overfitting_rho0","ECR","standard","mc","upper","-13.7190715047583"
"26","26","3","overfitting_rho0","ECR","standard","mc","upper","-27.1993918618751"
"27","27","3","overfitting_rho0","ECR","standard","mc","upper","-37.8347720938166"
"28","28","3","overfitting_rho0","ECR","standard","mc","upper","-22.5842662078803"
"29","29","3","overfitting_rho0","ECR","standard","mc","upper","-35.2464037834511"
"30","30","3","overfitting_rho0","ECR","standard","mc","upper","-19.1764184530818"
"31","31","3","overfitting_rho0","ECR","standard","mc","upper","-12.5816475080918"
"32","32","3","overfitting_rho0","ECR","standard","mc","upper","-13.3740195974023"
"33","33","3","overfitting_rho0","ECR","standard","mc","upper","-37.3643654193244"
"34","34","3","overfitting_rho0","ECR","standard","mc","upper","-24.2243772141837"
"35","35","3","overfitting_rho0","ECR","standard","mc","upper","-16.808594717283"
"36","36","3","overfitting_rho0","ECR","standard","mc","upper","-22.2802991633265"
"37","37","3","overfitting_rho0","ECR","standard","mc","upper","-41.3653760801859"
"38","38","3","overfitting_rho0","ECR","standard","mc","upper","-25.4673708763317"
"39","39","3","overfitting_rho0","ECR","standard","mc","upper","-29.7686592742425"
"40","40","3","overfitting_rho0","ECR","standard","mc","upper","-15.7607857982671"
"41","41","3","overfitting_rho0","ECR","standard","mc","upper","-10.2676053639243"
"42","42","3","overfitting_rho0","ECR","standard","mc","upper","-19.0069803451884"
"43","43","3","overfitting_rho0","ECR","standard","mc","upper","-21.6932639885831"
"44","44","3","overfitting_rho0","ECR","standard","mc","upper","-23.5713743226127"
"45","45","3","overfitting_rho0","ECR","standard","mc","upper","-44.4265326373969"
"46","46","3","overfitting_rho0","ECR","standard","mc","upper","-31.3386664186853"
"47","47","3","overfitting_rho0","ECR","standard","mc","upper","-10.6821573943094"
"48","48","3","overfitting_rho0","ECR","standard","mc","upper","-41.8610236383728"
"49","49","3","overfitting_rho0","ECR","standard","mc","upper","-38.3858016942367"
"50","50","3","overfitting_rho0","ECR","standard","mc","upper","-23.9295617557617"
"51","1","3","overfitting_rho.5","ECR","standard","mc","upper","-11.3971881627965"
"52","2","3","overfitting_rho.5","ECR","standard","mc","upper","-11.022941953835"
"53","3","3","overfitting_rho.5","ECR","standard","mc","upper","-12.7583506398275"
"54","4","3","overfitting_rho.5","ECR","standard","mc","upper","-11.9765746990708"
"55","5","3","overfitting_rho.5","ECR","standard","mc","upper","-5.78680543402164"
"56","6","3","overfitting_rho.5","ECR","standard","mc","upper","-7.50656975899965"
