"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"1","1","2","underfitting_rho0","ECR","standard","simple","upper","0.914909510253011"
"2","2","2","underfitting_rho0","ECR","standard","simple","upper","0.500818519326863"
"3","3","2","underfitting_rho0","ECR","standard","simple","upper","0.316626411535587"
"4","4","2","underfitting_rho0","ECR","standard","simple","upper","0.134364034709421"
"5","5","2","underfitting_rho0","ECR","standard","simple","upper","0.267277364556001"
"6","6","2","underfitting_rho0","ECR","standard","simple","upper","0.246466452204722"
"7","7","2","underfitting_rho0","ECR","standard","simple","upper","0.593660353408019"
"8","8","2","underfitting_rho0","ECR","standard","simple","upper","0.206388173185104"
"9","9","2","underfitting_rho0","ECR","standard","simple","upper","0.26520790144771"
"10","10","2","underfitting_rho0","ECR","standard","simple","upper","0.706065645870261"
"11","11","2","underfitting_rho0","ECR","standard","simple","upper","0.315074315915453"
"12","12","2","underfitting_rho0","ECR","standard","simple","upper","1.95752826928902"
"13","13","2","underfitting_rho0","ECR","standard","simple","upper","0.800500704785655"
"14","14","2","underfitting_rho0","ECR","standard","simple","upper","0.264942280347476"
"15","15","2","underfitting_rho0","ECR","standard","simple","upper","0.35411534010958"
"16","16","2","underfitting_rho0","ECR","standard","simple","upper","0.206209451179042"
"17","17","2","underfitting_rho0","ECR","standard","simple","upper","0.267606190718823"
"18","18","2","underfitting_rho0","ECR","standard","simple","upper","0.409390288933793"
"19","19","2","underfitting_rho0","ECR","standard","simple","upper","0.448743819852844"
"20","20","2","underfitting_rho0","ECR","standard","simple","upper","0.167867802596035"
"21","21","2","underfitting_rho0","ECR","standard","simple","upper","0.421330944837855"
"22","22","2","underfitting_rho0","ECR","standard","simple","upper","1.54542731770198"
"23","23","2","underfitting_rho0","ECR","standard","simple","upper","0.125226970164903"
"24","24","2","underfitting_rho0","ECR","standard","simple","upper","0.392968562513573"
"25","25","2","underfitting_rho0","ECR","standard","simple","upper","2.2946215444858"
"26","26","2","underfitting_rho0","ECR","standard","simple","upper","0.209331228801268"
"27","27","2","underfitting_rho0","ECR","standard","simple","upper","0.249391029504451"
"28","28","2","underfitting_rho0","ECR","standard","simple","upper","0.496039930109831"
"29","29","2","underfitting_rho0","ECR","standard","simple","upper","0.321909253828544"
"30","30","2","underfitting_rho0","ECR","standard","simple","upper","1.4246753507905"
"31","31","2","underfitting_rho0","ECR","standard","simple","upper","0.227111884934871"
"32","32","2","underfitting_rho0","ECR","standard","simple","upper","0.60638165452022"
"33","33","2","underfitting_rho0","ECR","standard","simple","upper","0.167673647452389"
"34","34","2","underfitting_rho0","ECR","standard","simple","upper","1.9572802420152"
"35","35","2","underfitting_rho0","ECR","standard","simple","upper","0.265141482078526"
"36","36","2","underfitting_rho0","ECR","standard","simple","upper","0.176523839172198"
"37","37","2","underfitting_rho0","ECR","standard","simple","upper","0.332219379439863"
