"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value","T"
"1","1","5","unknown","ECR","standard","simple","upper","4.57702496354477","1000"
"2","1","5","unknown","ECR","standard","bridge","upper","-6.89700456295441","1000"
"3","1","5","unknown","ECR","standard","simple","estim","2.30113613919093","1000"
"4","1","5","unknown","ECR","standard","bridge","estim","-5.12800476008942","1000"
"5","1","5","unknown","ECR","standard","simple","lower","1.43473531815971","1000"
"6","1","5","unknown","ECR","standard","bridge","lower","-4.45363634436126","1000"
"7","1","5","unknown","ECR","standard","simple","logcor","-2.99573227355399","1000"
"8","1","5","unknown","ECR","standard","bridge","logcor","-6.89700456295441","1000"
"9","1","5","unknown","ECR","standard","simple","permlen","1","1000"
"10","1","5","unknown","ECR","standard","bridge","permlen","-5.12800476008942","1000"
"11","1","5","unknown","ECR","standard","simple","alpha","0.467","1000"
"12","1","5","unknown","ECR","standard","bridge","alpha","-4.45363634436126","1000"
"13","1","5","unknown","ECR","standard","simple","upper","2.94381788414967","2000"
"14","1","5","unknown","ECR","standard","bridge","upper","-4.89274451747087","2000"
"15","1","5","unknown","ECR","standard","simple","estim","0.463172840507468","2000"
"16","1","5","unknown","ECR","standard","bridge","estim","-4.50755750591725","2000"
"17","1","5","unknown","ECR","standard","simple","lower","-0.63657537571271","2000"
"18","1","5","unknown","ECR","standard","bridge","lower","-4.23017079536112","2000"
"19","1","5","unknown","ECR","standard","simple","logcor","-3.81671282562382","2000"
"20","1","5","unknown","ECR","standard","bridge","logcor","-4.89274451747087","2000"
"21","1","5","unknown","ECR","standard","simple","permlen","1","2000"
"22","1","5","unknown","ECR","standard","bridge","permlen","-4.50755750591725","2000"
"23","1","5","unknown","ECR","standard","simple","alpha","0.483","2000"
"24","1","5","unknown","ECR","standard","bridge","alpha","-4.23017079536112","2000"
"25","1","5","unknown","ECR","standard","simple","upper","2.35808146069758","5000"
"26","1","5","unknown","ECR","standard","bridge","upper","-4.92467427509564","5000"
"27","1","5","unknown","ECR","standard","simple","estim","-0.101459629831879","5000"
"28","1","5","unknown","ECR","standard","bridge","estim","-4.79780922815735","5000"
"29","1","5","unknown","ECR","standard","simple","lower","-1.14967234601909","5000"
"30","1","5","unknown","ECR","standard","bridge","lower","-4.68524202763774","5000"
"31","1","5","unknown","ECR","standard","simple","logcor","-4.87960703168985","5000"
"32","1","5","unknown","ECR","standard","bridge","logcor","-4.92467427509564","5000"
"33","1","5","unknown","ECR","standard","simple","permlen","1","5000"
"34","1","5","unknown","ECR","standard","bridge","permlen","-4.79780922815735","5000"
"35","1","5","unknown","ECR","standard","simple","alpha","0.4824","5000"
"36","1","5","unknown","ECR","standard","bridge","alpha","-4.68524202763774","5000"
"37","1","5","unknown","ECR","standard","simple","upper","2.49285923131765","10000"
"38","1","5","unknown","ECR","standard","bridge","upper","-4.82864283257231","10000"
"39","1","5","unknown","ECR","standard","simple","estim","0.0111306575176968","10000"
"40","1","5","unknown","ECR","standard","bridge","estim","-4.74786195910792","10000"
"41","1","5","unknown","ECR","standard","simple","lower","-1.09215842847334","10000"
"42","1","5","unknown","ECR","standard","bridge","lower","-4.6731217068168","10000"
"43","1","5","unknown","ECR","standard","simple","logcor","-5.29831736654804","10000"
"44","1","5","unknown","ECR","standard","bridge","logcor","-4.82864283257231","10000"
"45","1","5","unknown","ECR","standard","simple","permlen","1","10000"
"46","1","5","unknown","ECR","standard","bridge","permlen","-4.74786195910792","10000"
"47","1","5","unknown","ECR","standard","simple","alpha","0.5021","10000"
"48","1","5","unknown","ECR","standard","bridge","alpha","-4.6731217068168","10000"
"49","1","5","unknown","ECR","standard","simple","upper","2.24508670917476","20000"
"50","1","5","unknown","ECR","standard","bridge","upper","-4.8322915779604","20000"
"51","1","5","unknown","ECR","standard","simple","estim","-0.117157522582602","20000"
"52","1","5","unknown","ECR","standard","bridge","estim","-4.77975719003734","20000"
"53","1","5","unknown","ECR","standard","simple","lower","-1.04567954279855","20000"
"54","1","5","unknown","ECR","standard","bridge","lower","-4.72984545742975","20000"
"55","1","5","unknown","ECR","standard","simple","logcor","-5.25909665339476","20000"
"56","1","5","unknown","ECR","standard","bridge","logcor","-4.8322915779604","20000"
"57","1","5","unknown","ECR","standard","simple","permlen","1","20000"
