"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value","T"
"1","1","15","unknown","ECR","standard","simple","upper","6.18438551896406","1000"
"2","1","15","unknown","ECR","standard","bridge","upper","-29.799244987521","1000"
"3","1","15","unknown","ECR","standard","simple","estim","4.48826691944532","1000"
"4","1","15","unknown","ECR","standard","bridge","estim","-28.2302095544342","1000"
"5","1","15","unknown","ECR","standard","simple","lower","3.83274797825561","1000"
"6","1","15","unknown","ECR","standard","bridge","lower","-27.6055670169135","1000"
"7","1","15","unknown","ECR","standard","simple","logcor","-1.64506509007725","1000"
"8","1","15","unknown","ECR","standard","bridge","logcor","-29.799244987521","1000"
"9","1","15","unknown","ECR","standard","simple","permlen","1","1000"
"10","1","15","unknown","ECR","standard","bridge","permlen","-28.2302095544342","1000"
"11","1","15","unknown","ECR","standard","simple","alpha","0.538","1000"
"12","1","15","unknown","ECR","standard","bridge","alpha","-27.6055670169135","1000"
"13","1","15","unknown","ECR","standard","simple","upper","0.00687245526432889","2000"
"14","1","15","unknown","ECR","standard","bridge","upper","-28.5220912179684","2000"
"15","1","15","unknown","ECR","standard","simple","estim","-1.89776286546839","2000"
"16","1","15","unknown","ECR","standard","bridge","estim","-28.1238222846714","2000"
"17","1","15","unknown","ECR","standard","simple","lower","-2.61051474748729","2000"
"18","1","15","unknown","ECR","standard","bridge","lower","-27.839757809978","2000"
"19","1","15","unknown","ECR","standard","simple","logcor","-1.78379129957888","2000"
"20","1","15","unknown","ECR","standard","bridge","logcor","-28.5220912179684","2000"
"21","1","15","unknown","ECR","standard","simple","permlen","1","2000"
"22","1","15","unknown","ECR","standard","bridge","permlen","-28.1238222846714","2000"
"23","1","15","unknown","ECR","standard","simple","alpha","0.486","2000"
"24","1","15","unknown","ECR","standard","bridge","alpha","-27.839757809978","2000"
"25","1","15","unknown","ECR","standard","simple","upper","2.39514434073726","5000"
"26","1","15","unknown","ECR","standard","bridge","upper","-28.042706903831","5000"
"27","1","15","unknown","ECR","standard","simple","estim","-0.0669491202847894","5000"
"28","1","15","unknown","ECR","standard","bridge","estim","-27.9205309950212","5000"
"29","1","15","unknown","ECR","standard","simple","lower","-1.12024328471171","5000"
"30","1","15","unknown","ECR","standard","bridge","lower","-27.811670022239","5000"
"31","1","15","unknown","ECR","standard","simple","logcor","-2.45573627248822","5000"
"32","1","15","unknown","ECR","standard","bridge","logcor","-28.042706903831","5000"
"33","1","15","unknown","ECR","standard","simple","permlen","1","5000"
"34","1","15","unknown","ECR","standard","bridge","permlen","-27.9205309950212","5000"
"35","1","15","unknown","ECR","standard","simple","alpha","0.5266","5000"
"36","1","15","unknown","ECR","standard","bridge","alpha","-27.811670022239","5000"
"37","1","15","unknown","ECR","standard","simple","upper","1.57509609874614","10000"
"38","1","15","unknown","ECR","standard","bridge","upper","-28.0596838133474","10000"
"39","1","15","unknown","ECR","standard","simple","estim","-0.0610751006197461","10000"
"40","1","15","unknown","ECR","standard","bridge","estim","-27.9872724378256","10000"
"41","1","15","unknown","ECR","standard","simple","lower","-0.701764709621784","10000"
"42","1","15","unknown","ECR","standard","bridge","lower","-27.9197522820295","10000"
"43","1","15","unknown","ECR","standard","simple","logcor","-2.41351665370133","10000"
"44","1","15","unknown","ECR","standard","bridge","logcor","-28.0596838133474","10000"
