"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"1","1","3","GIBBS","ECR","standard","mc","upper","-33551520.7937709"
"2","2","3","GIBBS","ECR","standard","mc","upper","-31768990.2208694"
"3","3","3","GIBBS","ECR","standard","mc","upper","-33173250.074048"
"4","4","3","GIBBS","ECR","standard","mc","upper","-33537151.701974"
"5","5","3","GIBBS","ECR","standard","mc","upper","-32980879.5992674"
"6","1","3","GIBBS","ECR","standard","bridge","upper","-1.780451785271"
"7","2","3","GIBBS","ECR","standard","bridge","upper","-1.78048429031332"
"8","3","3","GIBBS","ECR","standard","bridge","upper","-1.78050248212094"
"9","4","3","GIBBS","ECR","standard","bridge","upper","-1.7805375106982"
"10","5","3","GIBBS","ECR","standard","bridge","upper","-1.78041387778649"
"11","1","3","GIBBS","ECR","standard","permutations","upper","2.47521372441406"
"12","2","3","GIBBS","ECR","standard","permutations","upper","2.47536516312539"
"13","3","3","GIBBS","ECR","standard","permutations","upper","2.47503267200955"
"14","4","3","GIBBS","ECR","standard","permutations","upper","2.47469028152409"
"15","5","3","GIBBS","ECR","standard","permutations","upper","2.47473956750036"
"16","1","3","GIBBS","ECR","standard","mc","estim","-33551521.9032751"
"17","2","3","GIBBS","ECR","standard","mc","estim","-31768991.3303736"
"18","3","3","GIBBS","ECR","standard","mc","estim","-33173251.1835522"
"19","4","3","GIBBS","ECR","standard","mc","estim","-33537152.8114782"
"20","5","3","GIBBS","ECR","standard","mc","estim","-32980880.7087716"
"21","1","3","GIBBS","ECR","standard","bridge","estim","-1.780451785271"
"22","2","3","GIBBS","ECR","standard","bridge","estim","-1.78048429031332"
"23","3","3","GIBBS","ECR","standard","bridge","estim","-1.78050248212094"
"24","4","3","GIBBS","ECR","standard","bridge","estim","-1.7805375106982"
"25","5","3","GIBBS","ECR","standard","bridge","estim","-1.78041387778649"
"26","1","3","GIBBS","ECR","standard","permutations","estim","0.0148978627039469"
"27","2","3","GIBBS","ECR","standard","permutations","estim","0.0150630574571551"
"28","3","3","GIBBS","ECR","standard","permutations","estim","0.0147327714585117"
"29","4","3","GIBBS","ECR","standard","permutations","estim","0.0144003352033906"
"30","5","3","GIBBS","ECR","standard","permutations","estim","0.0144323824279127"
"31","1","3","GIBBS","ECR","standard","mc","lower","-33551524.3867999"
"32","2","3","GIBBS","ECR","standard","mc","lower","-31768993.8138984"
"33","3","3","GIBBS","ECR","standard","mc","lower","-33173253.667077"
"34","4","3","GIBBS","ECR","standard","mc","lower","-33537155.295003"
"35","5","3","GIBBS","ECR","standard","mc","lower","-32980883.1922964"
