"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"1","1","3","GIBBS","ECR","standard","permutations","upper","2.4933872774709"
"2","2","3","GIBBS","ECR","standard","permutations","upper","2.48718578123953"
"3","1","3","GIBBS","ECR","standard","permutations","estim","0.0234515557785926"
"4","2","3","GIBBS","ECR","standard","permutations","estim","0.0213470096350648"
"5","1","3","GIBBS","ECR","standard","permutations","lower","-1.04703266853176"
"6","2","3","GIBBS","ECR","standard","permutations","lower","-1.03982936109242"
"7","1","3","GIBBS","ECR","standard","permutations","logcor","0"
"8","2","3","GIBBS","ECR","standard","permutations","logcor","0"
"9","1","3","GIBBS","ECR","standard","permutations","permlen","6"
"10","2","3","GIBBS","ECR","standard","permutations","permlen","6"
"11","1","3","GIBBS","ECR","standard","permutations","alpha","0.9298"
"12","2","3","GIBBS","ECR","standard","permutations","alpha","0.9198"
