"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value","T"
"1","1","3","GIBBS","ECR","standard","simple","upper","2.74687798505329","1000"
"2","1","3","GIBBS","ECR","standard","simple","estim","0.328284963743499","1000"
"3","1","3","GIBBS","ECR","standard","simple","lower","-0.657647058735165","1000"
"4","1","3","GIBBS","ECR","standard","simple","logcor","0","1000"
"5","1","3","GIBBS","ECR","standard","simple","permlen","1","1000"
"6","1","3","GIBBS","ECR","standard","simple","alpha","0.898","1000"
"7","1","3","GIBBS","ECR","standard","simple","upper","2.38982725971073","2000"
"8","1","3","GIBBS","ECR","standard","simple","estim","0.0946302772172203","2000"
"9","1","3","GIBBS","ECR","standard","simple","lower","-0.7839506199889","2000"
"10","1","3","GIBBS","ECR","standard","simple","logcor","0","2000"
"11","1","3","GIBBS","ECR","standard","simple","permlen","1","2000"
"12","1","3","GIBBS","ECR","standard","simple","alpha","0.899","2000"
