"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"1","1","2","STAN","STEPHENS","standard","permutations","upper","198.528405119968"
"2","2","2","STAN","STEPHENS","standard","permutations","upper","198.449966281797"
"3","3","2","STAN","STEPHENS","standard","permutations","upper","198.464829647438"
"4","4","2","STAN","STEPHENS","standard","permutations","upper","197.927901423801"
"5","5","2","STAN","STEPHENS","standard","permutations","upper","197.271624442123"
"6","6","2","STAN","STEPHENS","standard","permutations","upper","197.505847413122"
"7","7","2","STAN","STEPHENS","standard","permutations","upper","197.558432393904"
"8","8","2","STAN","STEPHENS","standard","permutations","upper","198.248174014244"
"9","9","2","STAN","STEPHENS","standard","permutations","upper","198.603376092078"
"10","10","2","STAN","STEPHENS","standard","permutations","upper","197.197106309082"
"11","11","2","STAN","STEPHENS","standard","permutations","upper","198.845918413182"
"12","12","2","STAN","STEPHENS","standard","permutations","upper","196.925465289676"
"13","13","2","STAN","STEPHENS","standard","permutations","upper","197.080195672379"
"14","14","2","STAN","STEPHENS","standard","permutations","upper","198.454083095002"
"15","15","2","STAN","STEPHENS","standard","permutations","upper","197.28025135243"
"16","16","2","STAN","STEPHENS","standard","permutations","upper","198.435093856989"
"17","17","2","STAN","STEPHENS","standard","permutations","upper","196.920117910179"
"18","18","2","STAN","STEPHENS","standard","permutations","upper","197.950043646898"
"19","19","2","STAN","STEPHENS","standard","permutations","upper","198.774389411827"
"20","20","2","STAN","STEPHENS","standard","permutations","upper","198.596667827383"
"21","1","3","STAN","STEPHENS","standard","permutations","upper","197.763714801431"
"22","2","3","STAN","STEPHENS","standard","permutations","upper","196.879341849619"
"23","3","3","STAN","STEPHENS","standard","permutations","upper","197.761350163157"
"24","4","3","STAN","STEPHENS","standard","permutations","upper","196.474716063268"
"25","5","3","STAN","STEPHENS","standard","permutations","upper","195.913227669079"
"26","6","3","STAN","STEPHENS","standard","permutations","upper","196.975984103899"
"27","7","3","STAN","STEPHENS","standard","permutations","upper","196.3411360253"
"28","8","3","STAN","STEPHENS","standard","permutations","upper","197.625965347252"
"29","9","3","STAN","STEPHENS","standard","permutations","upper","197.047160013728"
"30","10","3","STAN","STEPHENS","standard","permutations","upper","197.65637700821"
"31","11","3","STAN","STEPHENS","standard","permutations","upper","197.706816997599"
"32","12","3","STAN","STEPHENS","standard","permutations","upper","196.926595369381"
"33","13","3","STAN","STEPHENS","standard","permutations","upper","198.084756903527"
"34","14","3","STAN","STEPHENS","standard","permutations","upper","196.587529919505"
"35","15","3","STAN","STEPHENS","standard","permutations","upper","196.489843827037"
"36","16","3","STAN","STEPHENS","standard","permutations","upper","196.125946257709"
"37","17","3","STAN","STEPHENS","standard","permutations","upper","197.317360991687"
"38","18","3","STAN","STEPHENS","standard","permutations","upper","197.017491906903"
"39","19","3","STAN","STEPHENS","standard","permutations","upper","196.403359697313"
"40","20","3","STAN","STEPHENS","standard","permutations","upper","196.343255240064"
"41","1","4","STAN","STEPHENS","standard","permutations","upper","196.403020512453"
"42","2","4","STAN","STEPHENS","standard","permutations","upper","197.731099364328"
"43","3","4","STAN","STEPHENS","standard","permutations","upper","197.483797845523"
"44","4","4","STAN","STEPHENS","standard","permutations","upper","196.853851679613"
"45","5","4","STAN","STEPHENS","standard","permutations","upper","197.020802588224"
"46","6","4","STAN","STEPHENS","standard","permutations","upper","197.701084436518"
"47","7","4","STAN","STEPHENS","standard","permutations","upper","197.122598473611"
"48","8","4","STAN","STEPHENS","standard","permutations","upper","197.591937284"
"49","9","4","STAN","STEPHENS","standard","permutations","upper","198.245092285279"
"50","10","4","STAN","STEPHENS","standard","permutations","upper","196.843782816818"
"51","11","4","STAN","STEPHENS","standard","permutations","upper","197.670861093271"
"52","12","4","STAN","STEPHENS","standard","permutations","upper","197.450758853955"
"53","13","4","STAN","STEPHENS","standard","permutations","upper","196.152269617597"
"54","14","4","STAN","STEPHENS","standard","permutations","upper","197.833113505525"
"55","15","4","STAN","STEPHENS","standard","permutations","upper","197.46231906262"
"56","16","4","STAN","STEPHENS","standard","permutations","upper","197.853926440561"
"57","17","4","STAN","STEPHENS","standard","permutations","upper","197.958582054208"
"58","18","4","STAN","STEPHENS","standard","permutations","upper","196.970272143184"
"59","19","4","STAN","STEPHENS","standard","permutations","upper","196.432176870366"
"60","20","4","STAN","STEPHENS","standard","permutations","upper","197.094908690326"
"61","1","5","STAN","STEPHENS","standard","permutations","upper","198.35901189903"
"62","2","5","STAN","STEPHENS","standard","permutations","upper","197.801378037495"
"63","3","5","STAN","STEPHENS","standard","permutations","upper","197.76299978676"
"64","4","5","STAN","STEPHENS","standard","permutations","upper","198.283999050082"
"65","5","5","STAN","STEPHENS","standard","permutations","upper","199.33987646208"
"66","6","5","STAN","STEPHENS","standard","permutations","upper","198.607047038515"
"67","7","5","STAN","STEPHENS","standard","permutations","upper","197.881204649213"
"68","8","5","STAN","STEPHENS","standard","permutations","upper","197.515763530703"
"69","9","5","STAN","STEPHENS","standard","permutations","upper","199.805350960993"
"70","10","5","STAN","STEPHENS","standard","permutations","upper","198.090823044767"
"71","11","5","STAN","STEPHENS","standard","permutations","upper","197.524598354586"
"72","12","5","STAN","STEPHENS","standard","permutations","upper","198.791679274965"
"73","13","5","STAN","STEPHENS","standard","permutations","upper","198.268641540244"
